feature,count,missing,missing_rate,mean,std,min,max
f0,13979592,0,0.0,19.620297487244425,5.377463629463952,12.616364906986496,26.74525510669564
f1,13979592,0,0.0,10.069976509475103,0.10475572707335101,10.059654474774549,16.34418683323554
f2,13979592,0,0.0,8.446582306922446,0.29931608908822827,8.214382844395335,9.051961945804948
f3,13979592,0,0.0,4.178923067825266,1.3366449492762351,-8.39838674285089,4.679881620097284
f4,13979592,0,0.0,10.338837294853896,0.3433081366423663,10.280525225748212,21.12350773431505
f5,13979592,0,0.0,4.028512923193421,0.4310974289197887,-9.011891520498516,4.115453421277861
f6,13979592,0,0.0,-4.155355515113873,4.577913961819066,-31.429783775633886,0.294442711255606
f7,13979592,0,0.0,5.101764646545403,1.2052476869910203,4.833814577796811,11.998400591725757
f8,13979592,0,0.0,3.9335808379844837,0.056659582395279566,3.63510661177053,3.971857989350875
f9,13979592,0,0.0,16.02763833006885,7.018974627882676,13.190055934673358,75.29501735734412
f10,13979592,0,0.0,5.333395557015007,0.16822884142973474,5.300374864042156,6.473917229316857
f11,13979592,0,0.0,-0.17096724767851545,0.022832767548824524,-1.383940669255639,-0.1686792210005612
