feature,global_mean,global_std,pilot_impute_median,pc1_loading
f0,19.620297487244425,5.377463629463952,21.933618533881134,0.1851861098920142
f1,10.069976509475103,0.10475572707335101,10.059654474774549,-0.24248878396637086
f2,8.446582306922446,0.29931608908822827,8.214382844395335,-0.08972977519126545
f3,4.178923067825266,1.3366449492762351,4.679881620097284,0.3181954430910806
f4,10.338837294853896,0.3433081366423663,10.280525225748212,-0.37231735727736104
f5,4.028512923193421,0.4310974289197887,4.115453421277861,0.3204966236287588
f6,-4.155355515113873,4.577913961819066,-2.411114577488788,0.22602456804943927
f7,5.101764646545403,1.2052476869910203,4.833814577796811,-0.2416882722168488
f8,3.9335808379844837,0.056659582395279566,3.971857989350875,0.3914133238778749
f9,16.02763833006885,7.018974627882676,13.190055934673358,-0.35779382508209656
f10,5.333395557015007,0.16822884142973474,5.300374864042156,-0.2955068777673394
f11,-0.17096724767851545,0.022832767548824524,-0.1686792210005612,0.2796815493260695
