feature,global_mean,global_std,pilot_impute_median,pc1_loading,pca_pilot_center_standardized_x,pc1_loading_reconstructed
f0,19.620297487244425,5.377463629463952,21.93361853388113,0.1851861098920142,0.002024907707713764,0.18518610989201423
f1,10.069976509475104,0.104755727073351,10.059654474774549,-0.2424887839663708,-0.002156190682992778,-0.24248878396637075
f2,8.446582306922446,0.2993160890882282,8.214382844395335,-0.0897297751912654,0.0017835979704531745,-0.08972977519126546
f3,4.178923067825266,1.3366449492762351,4.679881620097284,0.3181954430910806,0.0030307175451825563,0.3181954430910805
f4,10.338837294853896,0.3433081366423663,10.280525225748212,-0.372317357277361,-0.0014037941137276114,-0.3723173572773612
f5,4.028512923193421,0.4310974289197887,4.115453421277861,0.3204966236287588,0.0010618882268532506,0.3204966236287586
f6,-4.155355515113873,4.577913961819066,-2.411114577488788,0.2260245680494392,-0.0008909426856065871,0.22602456804943907
f7,5.101764646545403,1.2052476869910205,4.833814577796811,-0.2416882722168488,0.0015952162719691297,-0.2416882722168484
f8,3.933580837984484,0.0566595823952795,3.971857989350875,0.3914133238778749,0.001828154770609169,0.39141332387787564
f9,16.02763833006885,7.018974627882676,13.190055934673358,-0.3577938250820965,-0.004025381868729573,-0.3577938250820966
f10,5.333395557015007,0.1682288414297347,5.300374864042156,-0.2955068777673394,-0.0007781559150579593,-0.29550687776733947
f11,-0.1709672476785154,0.0228327675488245,-0.1686792210005612,0.2796815493260695,0.0022811290177758552,0.27968154932606987
